Individual,Date,Longitude,Latitude,Data Type
BC03M04,4/16/2003,-0.093312781,-0.987016844,VHF
BC03M04,4/17/2003,-0.089179741,-0.996896155,VHF
BC03M04,4/25/2003,0.438832862,-0.762888754,3
BC03M04,4/25/2003,0.391853705,-0.784344284,3
BC03M04,4/25/2003,0.474630788,-0.834978859,VHF
BC03M04,4/29/2003,0.503581857,-0.430077413,VHF
BC03M04,5/2/2003,0.295982887,-0.22593093,3
BC03M04,5/9/2003,0.166354559,-0.160803199,A
BC03M04,5/9/2003,0.123603074,-0.135140065,A
BC03M04,5/16/2003,-0.845899489,-0.597795505,1
BC03M04,5/30/2003,-1.229878375,-0.713965088,1
BC03M04,6/6/2003,-1.363951405,-0.841571637,1
BC03M04,6/6/2003,-1.309149574,-0.91017807,A
BC03M04,6/20/2003,-1.000253337,-0.666389975,A
BC03M04,6/20/2003,-0.99410751,-0.635185343,2
BC03M04,6/27/2003,-0.69677533,-0.671375512,A
BC03M04,7/4/2003,-0.768977179,-0.841977983,2
BC03M04,7/4/2003,-0.733115315,-0.85868323,2
BC03M04,7/4/2003,-0.762345992,-0.864398988,3
BC03M04,7/11/2003,-0.021660631,-1.28644017,0
BC03M04,7/11/2003,-0.39041382,-1.150084413,A
BC03M04,7/18/2003,0.004885979,-0.700080704,A
BC03M04,7/25/2003,0.400277,-0.150607503,A
BC03M04,7/25/2003,0.462033123,-0.151615769,A
BC03M04,7/30/2003,0.20195406,-0.32109817,VHF
BC03M04,8/1/2003,0.02266228,-0.488679566,A
BC03M04,8/1/2003,-0.086287189,-0.508615473,3
BC03M04,8/1/2003,-0.113295695,-0.514566014,2
BC03M04,8/1/2003,-0.078801466,-0.497011041,2
BC03M04,8/15/2003,-0.973015093,-0.962847663,2
BC03M04,8/15/2003,-0.679284657,-0.939947707,A
BC03M04,8/22/2003,-0.812288292,-0.724336621,A
BC03M04,8/22/2003,-0.900989915,-0.708649059,A
BC03M04,8/29/2003,-0.857727866,-0.542512243,3
BC03M04,8/29/2003,-1.012635793,-0.597983424,A
BC03M04,8/29/2003,-1.05218917,-0.670002195,A
BC03M04,9/5/2003,-1.113339863,-0.864290998,3
BC03M04,9/5/2003,-1.000168736,-0.899231748,A
BC03M04,9/5/2003,-0.995941111,-0.930754872,A
BC03M04,9/5/2003,-0.995823922,-0.960843555,3
BC03M04,9/12/2003,-0.909099189,-1.015779499,1
BC03M04,9/19/2003,-1.053265794,-0.671276472,A
BC03M04,9/19/2003,-1.224578393,-0.585920976,1
BC03M04,10/17/2003,-0.656559274,-0.90656751,3
BC03M04,10/17/2003,-0.712325424,-0.93249802,2
BC03M04,10/24/2003,-0.613472223,-0.848884473,A
BC03M04,10/24/2003,-0.776167036,-0.875777161,2
BC03M04,10/24/2003,-0.810632007,-0.882637834,2
BC03M04,10/24/2003,-0.8834936,-0.853045577,1
BC03M04,10/31/2003,-0.837621815,-0.84654375,3
BC03M04,10/31/2003,-0.700039419,-0.901452258,A
BC03M04,10/31/2003,-0.756527484,-0.878949452,3
BC03M04,11/7/2003,-1.08286633,-0.918893531,A
BC03M04,11/7/2003,-0.721230563,-0.842014345,A
BC03M04,11/7/2003,-0.887634864,-0.817608308,1
BC03M04,11/14/2003,-0.72505566,-0.904680846,A
BC03M04,11/19/2003,-0.777690826,-0.856560924,VHF
BC03M04,11/21/2003,-0.696761406,-0.820462201,2
BC03M04,11/21/2003,-0.255465205,-0.984625547,A
BC03M04,11/21/2003,-0.755309181,-0.835826088,1
BC03M04,11/28/2003,-0.922806823,-0.744619305,A
BC03M04,11/28/2003,-0.825508283,-0.794470448,VHF
BC03M04,12/5/2003,-0.683614379,-0.90844354,A
BC03M04,12/5/2003,-0.770905763,-0.909930004,A
BC03M04,12/12/2003,-0.8611233,-0.940026694,A
BC03M04,12/19/2003,-0.732320481,-0.904477903,A
BC03M04,12/19/2003,-0.650793119,-0.923724167,A
BC03M04,12/23/2003,-0.851650404,-0.919346424,VHF
BC03M04,12/26/2003,-0.473994905,-0.832907433,1
BC03M04,1/2/2004,-0.821230594,-0.818245941,A
BC03M04,1/2/2004,-0.750412517,-0.883045358,A
BC03M04,1/9/2004,-0.759230358,-0.901105835,3
BC03M04,1/16/2004,-0.793336923,-0.931524385,A
BC03M04,1/16/2004,-0.971334875,-0.975978876,A
BC03M04,1/23/2004,-0.695931675,-0.940797892,A
BC03M04,1/23/2004,-0.802218351,-0.878956176,A
BC03M04,1/29/2004,-0.932850584,-0.832704795,VHF
BC03M04,1/30/2004,-0.92042653,-0.803550842,A
BC03M04,2/6/2004,-0.787653332,-0.958640165,VHF
BC03M04,2/13/2004,-0.657241599,-0.893471893,2
BC03M04,2/17/2004,-0.710408841,-0.924739215,VHF
BC03M04,2/20/2004,-0.763045881,-0.925846308,A
BC03M04,3/5/2004,-1.028013582,-0.725701471,A
BC03M04,3/12/2004,-0.852634104,-0.898422022,3
BC03M04,3/18/2004,-0.800710951,-0.854276592,VHF
BC03M04,3/19/2004,-0.687796342,-0.871711942,2
BC03M04,3/25/2004,-0.707853642,-0.920982926,VHF
BC03M04,3/30/2004,-0.722078551,-1.491421578,VHF
BC03M04,4/1/2004,-0.778032642,-0.886222654,VHF
BC03M04,4/2/2004,-0.718993036,-0.873463345,3
BC03M04,4/2/2004,-0.787139408,-0.89638983,A
BC03M04,4/9/2004,-1.08830512,-0.926570618,A
BC03M04,4/13/2004,-0.861553557,-0.956497181,VHF
BC03M04,4/16/2004,-0.743944117,-0.918098065,VHF
BC03M04,4/30/2004,-0.789625497,-0.91070504,A
BC03M04,4/30/2004,-0.770238334,-0.92302707,1
BC03M04,5/6/2004,-0.885443381,-0.804491307,VHF
BC03M04,5/7/2004,-0.832685582,-0.783908123,A
BC03M04,5/7/2004,-0.708695758,-0.801822412,1
BC03M04,5/14/2004,-0.820140711,-0.637786825,2
BC03M04,5/14/2004,-0.805196618,-0.622525475,1
BC03M04,5/21/2004,-0.553392802,-0.932854641,A
BC03M04,5/21/2004,-0.646935659,-0.896367139,A
BC03M04,5/21/2004,-0.452123318,-0.953751007,2
BC03M04,5/28/2004,0.365511185,-0.197075416,A
BC03M04,5/28/2004,0.365222534,-0.214061864,A
BC03M04,5/28/2004,0.303885266,-0.18685862,A
BC03M04,6/4/2004,0.886050951,0.017654504,1
BC03M04,6/4/2004,1.021896727,0.039698329,A
BC03M04,6/4/2004,1.003044132,0.004609437,A
BC03M04,6/11/2004,0.951476829,-0.107224134,2
BC03M04,6/18/2004,0.633124425,-0.065330619,A
BC03M04,6/18/2004,0.628188904,0.020996051,A
BC03M04,6/22/2004,0.667345237,-0.027478302,VHF
BC03M04,6/25/2004,0.564141363,0.474155341,2
BC03M04,6/25/2004,0.610073651,0.468241091,A
BC03M04,7/2/2004,0.46553955,1.437787987,A
BC03M04,7/9/2004,0.791807468,1.391106415,A
BC03M04,7/9/2004,0.899731076,1.357083651,3
BC03M04,7/16/2004,1.530202921,1.681106232,A
BC03M04,7/16/2004,1.71700395,1.731331599,1
BC03M04,7/16/2004,1.356821296,1.704359088,A
BC03M04,7/23/2004,0.957753474,1.829565273,1
BC03M04,7/23/2004,0.957753474,1.829565273,1
BC03M04,7/30/2004,1.48003002,2.967481695,1
BC03M04,8/6/2004,1.073669395,3.195619178,A
BC03M04,8/6/2004,1.203510949,3.183897749,A
BC03M04,9/3/2004,1.21378834,2.198211847,A
BC03M04,9/3/2004,1.239554757,2.160088597,A
BC03M04,9/10/2004,1.107358967,1.6737574,1
BC03M04,9/17/2004,1.122134253,1.635712478,A
BC03M04,9/17/2004,1.14698527,1.593655996,A
BC03M04,9/17/2004,1.144796197,1.57537848,2
BC03M04,9/24/2004,1.089035943,1.64080803,VHF
BC03M04,10/8/2004,0.490088584,0.829535771,1
BC03M04,10/8/2004,0.441846996,0.808104804,A
BC03M04,10/8/2004,0.457150441,0.809158498,A
BC03M04,10/12/2004,0.487026386,0.424502797,VHF
BC03M04,10/15/2004,0.555797338,0.329202392,A
BC03M04,10/15/2004,0.552785072,0.333169325,A
BC03M04,10/22/2004,0.753575861,0.023203986,A
BC03M04,10/22/2004,0.692929583,0.021397899,3
BC03M04,10/22/2004,0.694913081,0.016143313,A
BC03M04,10/29/2004,0.4754852,0.493842924,1
BC03M04,11/5/2004,0.405221704,0.871466931,A
BC03M04,11/5/2004,0.466012499,0.976330179,2
BC03M04,11/12/2004,0.746705596,1.275375513,3
BC03M04,11/12/2004,0.750689362,1.270093385,3
BC03M04,11/12/2004,0.718289808,1.273150033,A
BC03M04,11/19/2004,1.268488712,1.503744695,0
BC03M04,11/19/2004,1.27254265,1.505019831,A
BC03M04,11/26/2004,1.284965094,1.542824435,1
BC03M04,11/26/2004,1.298249482,1.562327161,1
BC03M04,12/1/2004,1.278922282,1.503625261,VHF
BC03M04,12/17/2004,1.244268919,1.509166193,A
BC03M04,12/17/2004,1.271490791,1.499800347,A
BC03M04,12/24/2004,1.271541972,1.506334591,1
BC03M04,12/24/2004,1.268437314,1.497210452,A
BC03M04,12/24/2004,1.266446236,1.501146922,2
BC03M04,1/14/2005,1.309255713,1.547868518,A
BC03M04,1/14/2005,1.299240049,1.559705826,3
BC03M04,1/21/2005,1.303310642,1.563596021,3
BC03M04,1/21/2005,1.292157977,1.558452568,3
BC03M04,1/28/2005,1.253134523,1.605808323,A
BC03M04,2/4/2005,1.128609178,1.572915614,A
BC03M04,2/4/2005,1.137676417,1.570216658,3
BC03M04,2/4/2005,1.132662149,1.574184498,A
BC03M04,2/9/2005,1.109772187,1.637805264,VHF
BC03M04,2/17/2005,1.078932762,1.642103348,VHF
BC03M04,2/19/2005,1.083656195,1.522377548,0
BC03M04,2/20/2005,1.090595651,1.611184828,A
BC03M04,2/21/2005,1.12304442,1.625247863,1
BC03M04,2/24/2005,1.149772228,1.577880592,VHF
BC03M04,3/3/2005,1.096395433,1.634284501,VHF
BC03F03,4/3/2003,-0.524798415,-0.608772,VHF
BC03F03,4/4/2003,-0.49553842,-0.632593669,VHF
BC03F03,4/8/2003,-0.417698975,-0.777458826,2
BC03F03,4/8/2003,-0.366501277,-0.774641848,VHF
BC03F03,4/11/2003,-0.128298481,-0.821881293,VHF
BC03F03,4/15/2003,0.104705786,-0.748246835,1
BC03F03,4/22/2003,-0.370658025,-0.869921162,A
BC03F03,4/22/2003,0.01498987,-0.901901531,A
BC03F03,4/25/2003,-0.19956085,-0.842399941,VHF
BC03F03,4/29/2003,0.150532126,-1.066675743,1
BC03F03,4/29/2003,0.267066272,-1.048190549,0
BC03F03,4/29/2003,0.25012923,-1.045828602,2
BC03F03,4/29/2003,0.284809009,-1.053747287,1
BC03F03,5/6/2003,0.93273817,-0.798664382,A
BC03F03,5/6/2003,0.934494867,-0.786989129,1
BC03F03,5/6/2003,0.880055855,-0.704867717,0
BC03F03,5/13/2003,0.97935232,-0.777667571,A
BC03F03,5/20/2003,0.493678134,-1.041455528,1
BC03F03,5/20/2003,0.52268832,-1.025835721,A
BC03F03,5/20/2003,0.471841052,-1.022088077,1
BC03F03,5/20/2003,0.41634878,-1.052249252,2
BC03F03,5/20/2003,0.407865212,-1.052146813,1
BC03F03,5/20/2003,0.405216815,-1.06061391,1
BC03F03,6/3/2003,-0.102115216,-1.327007478,A
BC03F03,6/3/2003,0.007584453,-1.28643944,2
BC03F03,6/3/2003,-0.020013539,-1.307217827,A
BC03F03,6/3/2003,-0.081048175,-1.292323876,1
BC03F03,6/10/2003,0.013301458,-1.250408765,A
BC03F03,6/17/2003,0.209522412,-1.447921355,A
BC03F03,6/17/2003,0.292335701,-1.440573026,1
BC03F03,6/17/2003,0.14369593,-1.458633503,A
BC03F03,6/17/2003,0.090777311,-1.46099883,A
BC03F03,6/24/2003,-0.039459828,-1.299440587,1
BC03F03,6/24/2003,0.048656943,-1.273313403,1
BC03F03,6/24/2003,0.088065002,-1.25695286,0
BC03F03,6/24/2003,0.049682736,-1.262704765,1
BC03F03,7/1/2003,-0.04055056,-1.072019878,A
BC03F03,7/1/2003,-0.112413679,-1.101533066,A
BC03F03,7/1/2003,-0.083295132,-1.088254276,A
BC03F03,7/1/2003,-0.180979676,-1.046029802,A
BC03F03,7/8/2003,0.120233728,-1.05026728,A
BC03F03,7/8/2003,0.110951665,-1.04693319,A
BC03F03,7/8/2003,-0.007102571,-1.052415332,A
BC03F03,7/15/2003,-0.171281405,-0.852796838,A
BC03F03,7/15/2003,-0.208733541,-0.820174332,A
BC03F03,7/22/2003,-0.623419395,-0.250504865,A
BC03F03,7/22/2003,-0.626909119,-0.222770515,0
BC03F03,7/22/2003,-0.649197727,-0.207307586,A
BC03F03,7/29/2003,-0.89933629,0.03146374,0
BC03F03,7/29/2003,-0.977847636,0.012545546,1
BC03F03,7/29/2003,-1.060390596,0.000213297,A
BC03F03,8/5/2003,-2.088697927,0.012859984,A
BC03F03,8/12/2003,-2.113366864,-0.23740801,1
BC03F03,8/12/2003,-2.071785511,-0.230737436,1
BC03F03,8/12/2003,-2.061138332,-0.25676875,A
BC03F03,8/12/2003,-1.906336009,-0.262370699,A
BC03F03,8/19/2003,-1.208468564,-0.190732487,A
BC03F03,8/26/2003,-0.940594542,-0.22788958,A
BC03F03,8/26/2003,-0.988441921,-0.280695376,A
BC03F03,9/2/2003,-1.078526359,-0.282167033,A
BC03F03,9/9/2003,-0.588134055,-0.452347452,A
BC03F03,9/9/2003,-0.518583062,-0.468942638,1
BC03F03,9/9/2003,-0.499303392,-0.508740451,A
BC03F03,9/16/2003,-0.015403921,-1.090525897,1
BC03F03,9/16/2003,0.118834206,-1.08530941,1
BC03F03,9/16/2003,-0.333104048,-1.214039841,1
BC03F03,9/16/2003,0.073523397,-1.156839046,1
BC03F03,9/16/2003,0.05070837,-1.149027271,A
BC03F03,9/23/2003,0.321685203,-2.009306724,A
BC03F03,9/23/2003,0.420721013,-1.982894803,1
BC03F03,9/23/2003,0.359926198,-1.971544989,A
BC03F03,9/23/2003,0.479870614,-1.910266046,1
BC03F03,9/23/2003,0.282959257,-1.951438468,A
BC03F03,9/23/2003,0.177092195,-1.974399873,1
BC03F03,9/23/2003,0.306548081,-1.918816891,2
BC03F03,9/23/2003,0.24507303,-1.898872745,A
BC03F03,9/30/2003,0.04788212,-1.372117321,A
BC03F03,10/7/2003,-0.037704644,-1.199585975,1
BC03F03,10/17/2003,-0.10328054,-0.821134363,VHF
BC03F03,10/21/2003,-0.160750631,-0.877444829,A
BC03F03,10/21/2003,-0.015395224,-0.847179809,1
BC03F03,10/21/2003,-0.249607789,-0.915001669,A
BC03F03,10/28/2003,-0.207187302,-0.785132584,A
BC03F03,10/28/2003,-0.256544514,-0.799010971,A
BC03F03,10/28/2003,-0.298793179,-0.796004091,1
BC03F03,10/28/2003,-0.215558969,-0.78071363,A
BC03F03,11/4/2003,-0.11622093,-0.716756204,0
BC03F03,11/11/2003,-0.391174231,-0.764236344,2
BC03F03,11/11/2003,-0.379289464,-0.762374706,1
BC03F03,11/18/2003,-0.478564647,-0.738852002,A
BC03F03,11/25/2003,-0.365954352,-0.694640961,A
BC03F03,11/25/2003,-0.360064114,-0.69583352,A
BC03F03,11/28/2003,-0.393856342,-0.635590026,VHF
BC03F03,12/2/2003,-0.323714629,-0.734888452,A
BC03F03,12/2/2003,-0.320288235,-0.732836174,A
BC03F03,12/2/2003,-0.218823908,-0.732820922,3
BC03F03,12/9/2003,-0.195368555,-0.786430636,A
BC03F03,12/16/2003,-0.09293756,-0.737384405,A
BC03F03,12/16/2003,-0.140469955,-0.747115132,A
BC03F03,12/16/2003,-0.201584013,-0.75867413,0
BC03F03,12/16/2003,-0.192519014,-0.72803284,1
BC03F03,12/23/2003,-0.187469488,-0.729195631,3
BC03F03,12/23/2003,-0.231695433,-0.742125907,2
BC03F03,12/23/2003,-0.240364917,-0.752577704,A
BC03F03,12/23/2003,-0.236701992,-0.738835515,1
BC03F03,12/23/2003,-0.21810641,-0.73924365,VHF
BC03F03,12/30/2003,-0.056844137,-0.705102217,0
BC03F03,12/30/2003,-0.465650618,-0.801871284,A
BC03F03,12/30/2003,-0.213697098,-0.772248477,3
BC03F03,1/6/2004,-0.228953414,-0.815516607,2
BC03F03,1/13/2004,-0.306335836,-0.712939078,1
